text,count,examples
LUZ PERIMETRAL TRASERA DERECHA PRESENTA FALLA Y NO ENCIENDE,1,(s/f)  RX-7 TORRE DE ILUMINACION
Neblineros no encienden,1,(s/f)  H-17 LUCES Y SISTEMA ELECTRICO
Piso conductor altamente dañado,1,(s/f)  H-17 CABINA Y CARROCERIA
Freno de motor funcionamiento intermitente,1,(s/f)  H-17 MOTOR
Luces del tablero de instrumentos no encienden,1,(s/f)  H-17 ACCESORIOS E INSTRUMENTOS
Sistema doble sonido (PAPI) no funciona,1,(s/f)  H-17 SISTEMAS DE ALARMAS
Focos no encienden,1,(s/f)  H-17 TORRE DE ILUMINACION
Sistema Neumático no funciona,1,(s/f)  H-17 TORRE DE ILUMINACION
"Sistema de cascadas, Seguro de carros porta cilindro carga dañados",1,(s/f)  H-17 OTROS
Sistema luces 911 no funciona,1,(s/f)  B-17 LUCES Y SISTEMA ELECTRICO
Caja eléctrica boomer quebrada (pendiente de reemplazo IP68),1,(s/f)  B-17 LUCES Y SISTEMA ELECTRICO
Revisar sistema de frenos por sonido agudo al frenar suave,1,(s/f)  B-17 FRENOS
Espejo retrovisor derecho quebrado,1,(s/f)  B-17 CABINA Y CARROCERIA
Sistema aire acondicionado no funciona,1,(s/f)  B-17 CABINA Y CARROCERIA
"Cuerpo bomba, no levanta succión",1,(s/f)  B-17 CUERPO BOMBA
Piton monitor boomer falla,1,(s/f)  B-17 CUERPO BOMBA
Carga de accesorios no funciona,1,(s/f)  B-17 ACCESORIOS E INSTRUMENTOS
Focos torre de iluminación no encienden (quemados),1,(s/f)  B-17 TORRE DE ILUMINACION
Boomer presenta movimientos bruscos,1,(s/f)  B-17 TORRE DE ILUMINACION
Revisar compresor de aire ( funciona al conectar,1,(s/f)  H-18 LUCES Y SISTEMA ELECTRICO
Suspensión neumatica pierde aire y dura,1,(s/f)  H-18 SUSPENSION
Rotar neumáticos traseros externos por internos,1,(s/f)  H-18 NEUMATICOS
Reparar soportes BODY lado piloto y centrales,1,(s/f)  H-18 CABINA Y CARROCERIA
Mantenimiento de motor,1,(s/f)  H-18 MOTOR
"Llave drenaje pre conectado rojo , rodada",1,(s/f)  H-18 CUERPO BOMBA
Sistema de espuma dejo de funcionar,1,(s/f)  H-18 CUERPO BOMBA
"FRC 360 imagen no nítida, al señalizar izquierda no prende pantalla",1,(s/f)  H-18 ACCESORIOS E INSTRUMENTOS
Pérdida de aceite motor,1,(s/f)  H-18 MANTENCION
Firecom cambiar baterías,1,(s/f)  H-18 OTROS
Reparar amortiguador interno silo,1,(s/f)  H-18 OTROS
Enderezar tapa silo,1,(s/f)  H-18 OTROS
Generador no funcionan electro ventiladores y se calienta dejando de entregar corriente,1,(s/f)  H-18 OTROS
Botón de ingnicion está duro (start),1,(s/f)  B-18 LUCES Y SISTEMA ELECTRICO
Sirena electrónica Whelen en sonido “ PIER” selector fallando.,1,(s/f)  B-18 LUCES Y SISTEMA ELECTRICO
Se carga la dirección para la derecha,1,(s/f)  B-18 DIRECCION
Al frenar se carga para la izquierda,1,(s/f)  B-18 FRENOS
Neumáticos traseros externos con falta de calugas.,1,(s/f)  B-18 NEUMATICOS
Brazo de limpia parabrisas piloto se desarma,1,(s/f)  B-18 CABINA Y CARROCERIA
Tornillos faltantes a aluminio de body espalda de cabina,1,(s/f)  B-18 CABINA Y CARROCERIA
Palanca de cortina de rescate queda suelta,1,(s/f)  B-18 CABINA Y CARROCERIA
Alta presión no funciona (pendiente Heavy Service),1,(s/f)  B-18 CUERPO BOMBA
Cambiar kit de sellos de salidas de agua,1,(s/f)  B-18 CUERPO BOMBA
Llave de cuerpo bomba “ llenado de estanque “ está muy cerca del panel.,1,(s/f)  B-18 CUERPO BOMBA
Bomba de cebado en modo automático no funciona.,1,(s/f)  B-18 CUERPO BOMBA
Problema de succión en aspiración de 6”,1,(s/f)  B-18 CUERPO BOMBA
Faltan tornillos en bisel de entrada de 3” lado piloto,1,(s/f)  B-18 CUERPO BOMBA
Revisar nivel de aceite en masas delanteras.,1,(s/f)  B-18 MANTENCION
Amortiguador rack de escala malo baja de golpe o al guardar,1,(s/f)  B-18 OTROS
Soportes ERA cabina Reparar soportes ERA que no abren al tirar palanca,1,(s/f)  B-18 OTROS
Sirena Q2B rodamiento malo suena lento al principio,1,(s/f)  BT-18 LUCES Y SISTEMA ELECTRICO
Revisar generador no está marcando reloj.,1,(s/f)  BT-18 LUCES Y SISTEMA ELECTRICO
Luces cajoneras primera cortina ambos lados piloto y copiloto no prenden,1,(s/f)  BT-18 LUCES Y SISTEMA ELECTRICO
"Volante chueco, hay que hacer alineacion",1,(s/f)  BT-18 DIRECCION
Hacer rotacion de neumaticos traseros,1,(s/f)  BT-18 NEUMATICOS
Realizar lubricacion a todas las graseras de chasis.,1,(s/f)  BT-18 CHASSIS
"Perdida de aceite sector carter, bomba de direccion, varilla medidor aceite, PTO",1,(s/f)  BT-18 MOTOR
"Revisar marcador de Adblue, tira alarma de nivel bajo.",1,(s/f)  BT-18 MANTENCION
Problema con autoguardado de torre de iluminación,1,(s/f)  BT-18 TORRE DE ILUMINACION
Camara de retroceso Sin cámara trasera.,1,(s/f)  BT-18 OTROS
Botones descarga lateral flash lado piloto no funciona para sacar canal y para apertura,1,(s/f)  BT-18 OTROS
Sin alarma de retroceso no suena,1,(s/f)  BT-18 OTROS
"Reparar soporte ERA a cargo, manilla tirador suelta.",1,(s/f)  BT-18 OTROS
Se debe cambiar bateria,1,(s/f)  B-14 LUCES Y SISTEMA ELECTRICO
Intercomunicado OBAC no carga,1,(s/f)  B-14 LUCES Y SISTEMA ELECTRICO
Volante desalineado,1,(s/f)  B-14 DIRECCION
Revisar dirección,1,(s/f)  B-14 DIRECCION
Espejos puertas de cabina requieren cambio de soporte,1,(s/f)  B-14 CABINA Y CARROCERIA
Funda Cinturon de Seguridad Conductor Rota,1,(s/f)  B-14 CABINA Y CARROCERIA
Boton de encendido suelto,1,(s/f)  B-14 MOTOR
Tapa de Liq Refrigerante Quebrada,1,(s/f)  B-14 MOTOR
Fuga de agua desde cuerpo de bomba proablemente por bba centrifuga,1,(s/f)  B-14 CUERPO BOMBA
"Gobernado con modo ""presion"" no utilizable",1,(s/f)  B-14 CUERPO BOMBA
Pantalla de valvula preconectada con falla. No cierra,1,(s/f)  B-14 CUERPO BOMBA
Papi sin funcionamiento.,1,(s/f)  B-14 SISTEMAS DE ALARMAS
"Pantalla cabina, lado conductor, deja de funcionar.",1,(s/f)  B-11 LUCES Y SISTEMA ELECTRICO
"Alzavidrio puerta trasera derecha, revisar. Vidrio abajo.",1,(s/f)  B-11 CABINA Y CARROCERIA
"Rev. llaves lado derecho/izquierdo trasero, con fuga.",1,(s/f)  B-11 CUERPO BOMBA
"Sincronización luz estroboscopica, lado derecho, sobre eje trasero",1,(s/f)  B-11 SISTEMAS DE ALARMAS
"Papí, activación desde boton bocina, apagar al desconectar contacto.",1,(s/f)  B-11 SISTEMAS DE ALARMAS
Pendiente mantención generador.,1,(s/f)  B-11 TORRE DE ILUMINACION
"Revisar manguerin primeros auxilios, Fuga de agua entre manguerin y tira.",1,(s/f)  B-11 OTROS
"Revisar cargador cabina camara termal, Carga irregular",1,(s/f)  B-11 OTROS
BALIZA AZUL TRASERA DERECHA,1,(s/f)  B-4 LUCES Y SISTEMA ELECTRICO
REPOSICION UNION DE 75MM PARA FIJAR SALIDA DE CAMA,1,(s/f)  B-4 CHASSIS
PISADERAS AMBOIS COSTADOS,1,(s/f)  B-4 CABINA Y CARROCERIA
UNO DE LOS SOPORTES DEL EQUIPO DE RESPIRACIÓN DE LA CABINA NO LO ASEGURA.,1,(s/f)  B-5 CABINA Y CARROCERIA
LA VALVULA DE LA SALIDA N°7 ESTÁ AGRIPADA. DESPUÉS DEL VACIADO DE BOMBA QUEDA,1,(s/f)  B-5 CUERPO BOMBA
FUGA EN EL ESTANQUE DE COMBUSTIBLE.,1,(s/f)  M-5 MOTOR
INSTALAR ASCENSOR NUEVO YA QUE EL ANTERIOR RESULTÓ DAÑADO Y FUE RETIRADO.,1,(s/f)  M-5 OTROS
